#nucleus-nld-mass-strength-omp 167Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.10000E+00 1.50492E-09 1.73870E-08 1.25855E-08 1.45406E-07
1.20000E+00 1.65358E-09 1.90079E-08 1.79535E-08 2.06375E-07
1.30000E+00 1.80547E-09 2.06394E-08 2.49230E-08 2.84910E-07
1.40000E+00 1.96092E-09 2.22826E-08 3.38083E-08 3.84176E-07
1.50000E+00 2.12027E-09 2.39383E-08 4.49619E-08 5.07631E-07
1.60000E+00 2.28388E-09 2.56076E-08 5.87778E-08 6.59036E-07
1.70000E+00 2.45213E-09 2.72915E-08 7.56956E-08 8.42470E-07
1.80000E+00 2.62542E-09 2.89910E-08 9.62049E-08 1.06233E-06
1.90000E+00 2.80418E-09 3.07071E-08 1.20850E-07 1.32336E-06
2.00000E+00 2.98884E-09 3.24409E-08 1.50236E-07 1.63066E-06
2.20000E+00 3.37782E-09 3.59660E-08 2.25988E-07 2.40625E-06
2.40000E+00 3.79651E-09 3.95755E-08 3.29760E-07 3.43748E-06
2.60000E+00 4.24960E-09 4.32789E-08 4.69298E-07 4.77943E-06
2.80000E+00 4.74245E-09 4.70864E-08 6.54120E-07 6.49455E-06
3.00000E+00 5.28116E-09 5.10087E-08 8.95928E-07 8.65342E-06
3.20000E+00 5.87268E-09 5.50573E-08 1.20911E-06 1.13356E-05
3.40000E+00 6.52497E-09 5.92444E-08 1.61137E-06 1.46307E-05
3.60000E+00 7.24709E-09 6.35832E-08 2.12447E-06 1.86393E-05
3.80000E+00 8.04932E-09 6.80879E-08 2.77517E-06 2.34747E-05
4.00000E+00 8.94321E-09 7.27735E-08 3.59628E-06 2.92640E-05
4.50000E+00 1.16659E-08 8.53910E-08 6.67938E-06 4.88911E-05
5.00000E+00 1.52657E-08 9.95448E-08 1.19896E-05 7.81823E-05
5.50000E+00 1.99156E-08 1.15605E-07 2.08191E-05 1.20850E-04
6.00000E+00 2.54746E-08 1.34039E-07 3.45733E-05 1.81914E-04
6.50000E+00 3.09696E-08 1.55443E-07 5.34386E-05 2.68220E-04
7.00000E+00 3.43373E-08 1.80588E-07 7.40015E-05 3.89191E-04
7.50000E+00 3.37139E-08 2.10488E-07 8.93662E-05 5.57945E-04
8.00000E+00 2.95142E-08 2.46491E-07 9.49470E-05 7.92958E-04
8.50000E+00 2.39174E-08 2.90411E-07 9.22891E-05 1.12060E-03
9.00000E+00 1.86887E-08 3.44728E-07 8.56023E-05 1.57901E-03
9.50000E+00 1.44796E-08 4.12857E-07 7.80022E-05 2.22408E-03
1.00000E+01 1.12892E-08 4.99550E-07 7.09318E-05 3.13876E-03
1.05000E+01 8.91394E-09 6.11406E-07 6.48362E-05 4.44711E-03
1.10000E+01 7.14257E-09 7.57467E-07 5.97327E-05 6.33464E-03
1.15000E+01 5.80759E-09 9.49544E-07 5.54969E-05 9.07379E-03
1.20000E+01 4.78739E-09 1.20119E-06 5.19783E-05 1.30417E-02
1.25000E+01 3.99614E-09 1.52235E-06 4.90400E-05 1.86820E-02
1.30000E+01 3.37351E-09 1.90399E-06 4.65685E-05 2.62830E-02
1.35000E+01 2.87686E-09 2.28945E-06 4.44734E-05 3.53926E-02
1.40000E+01 2.47567E-09 2.55663E-06 4.26831E-05 4.40790E-02
1.45000E+01 2.14782E-09 2.57711E-06 4.11417E-05 4.93647E-02
1.50000E+01 1.87709E-09 2.33976E-06 3.98050E-05 4.96163E-02
1.55000E+01 1.65136E-09 1.96342E-06 3.86381E-05 4.59397E-02
1.60000E+01 1.46150E-09 1.57727E-06 3.76130E-05 4.05925E-02
1.65000E+01 1.30053E-09 1.24721E-06 3.67072E-05 3.52024E-02
1.70000E+01 1.16306E-09 9.87094E-07 3.59027E-05 3.04709E-02
1.75000E+01 1.04486E-09 7.88422E-07 3.51846E-05 2.65493E-02
1.80000E+01 9.42614E-10 6.37677E-07 3.45407E-05 2.33668E-02
1.85000E+01 8.53658E-10 5.22685E-07 3.39609E-05 2.07939E-02
1.90000E+01 7.75860E-10 4.34019E-07 3.34367E-05 1.87046E-02
1.95000E+01 7.07488E-10 3.64770E-07 3.29612E-05 1.69943E-02
2.00000E+01 6.47130E-10 3.09966E-07 3.25283E-05 1.55806E-02
2.10000E+01 5.45999E-10 2.30379E-07 3.17709E-05 1.34054E-02
2.20000E+01 4.65330E-10 1.76859E-07 3.11321E-05 1.18324E-02
2.30000E+01 4.00117E-10 1.39395E-07 3.05880E-05 1.06564E-02
2.40000E+01 3.46773E-10 1.12274E-07 3.01203E-05 9.75195E-03
2.50000E+01 3.02675E-10 9.20752E-08 2.97151E-05 9.03946E-03
2.60000E+01 2.65876E-10 7.66681E-08 2.93615E-05 8.46671E-03
2.70000E+01 2.34904E-10 6.46732E-08 2.90510E-05 7.99826E-03
2.80000E+01 2.08635E-10 5.51691E-08 2.87767E-05 7.60939E-03
2.90000E+01 1.86198E-10 4.75227E-08 2.85332E-05 7.28241E-03
3.00000E+01 1.66911E-10 4.12881E-08 2.83158E-05 7.00436E-03
3.10000E+01 1.50233E-10 3.61444E-08 2.81210E-05 6.76559E-03
3.20000E+01 1.35733E-10 3.18560E-08 2.79456E-05 6.55875E-03
3.30000E+01 1.23062E-10 2.82471E-08 2.77872E-05 6.37817E-03
#nucleus-nld-mass-strength-omp 167Bi-1-1-3-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 1.00441E-13 0.00000E+00 6.31092E-22
2.00000E-03 4.52885E-12 2.00883E-13 2.27645E-19 1.00975E-20
5.00000E-03 1.13221E-11 5.02207E-13 8.89238E-18 3.94432E-19
1.00000E-02 2.26443E-11 1.00441E-12 1.42278E-16 6.31092E-18
2.00000E-02 4.52891E-11 2.00883E-12 2.27648E-15 1.00975E-16
5.00000E-02 1.13230E-10 5.02207E-12 8.89306E-14 3.94432E-15
1.00000E-01 2.26512E-10 1.00441E-11 1.42322E-12 6.31092E-14
2.00000E-01 4.53445E-10 4.02028E-11 2.27926E-11 2.02081E-12
